,File,Frames,Replacement,Page_Fault_rate
0,sixpack.trace,18,clock,0.1052
0,sixpack.trace,18,lru,0.0997
0,sixpack.trace,16,rand,0.1444
0,sixpack.trace,16,clock,0.1152
0,sixpack.trace,16,lru,0.1087
0,sixpack.trace,14,rand,0.1593
0,sixpack.trace,14,clock,0.1275
0,sixpack.trace,14,lru,0.1201
0,sixpack.trace,12,rand,0.1768
0,sixpack.trace,12,clock,0.1431
0,sixpack.trace,12,lru,0.1356
0,sixpack.trace,10,rand,0.1998
0,sixpack.trace,10,clock,0.1642
0,sixpack.trace,10,lru,0.1547
0,sixpack.trace,8,rand,0.2309
0,sixpack.trace,8,clock,0.1918
0,sixpack.trace,8,lru,0.1765
0,sixpack.trace,6,rand,0.2768
0,sixpack.trace,6,clock,0.236
0,sixpack.trace,6,lru,0.2073
0,sixpack.trace,4,rand,0.3552
0,sixpack.trace,4,clock,0.3294
0,sixpack.trace,4,lru,0.2826
0,sixpack.trace,2,rand,0.5428
0,sixpack.trace,2,clock,0.5292
0,sixpack.trace,2,lru,0.4832
0,bzip.trace,58,rand,0.0017
0,bzip.trace,58,clock,0.0014
0,bzip.trace,58,lru,0.0013
0,bzip.trace,56,rand,0.0018
0,bzip.trace,56,clock,0.0014
0,bzip.trace,56,lru,0.0013
0,bzip.trace,54,rand,0.0018
0,bzip.trace,54,clock,0.0015
0,bzip.trace,54,lru,0.0014
0,bzip.trace,52,rand,0.0019
0,bzip.trace,52,clock,0.0015
0,bzip.trace,52,lru,0.0014
0,bzip.trace,50,rand,0.0018
0,bzip.trace,50,clock,0.0015
0,bzip.trace,50,lru,0.0014
0,bzip.trace,48,rand,0.0019
0,bzip.trace,48,clock,0.0016
0,bzip.trace,48,lru,0.0015
0,bzip.trace,46,rand,0.002
0,bzip.trace,46,clock,0.0016
0,bzip.trace,46,lru,0.0015
0,bzip.trace,44,rand,0.0021
0,bzip.trace,44,clock,0.0017
0,bzip.trace,44,lru,0.0016
0,bzip.trace,42,rand,0.0021
0,bzip.trace,42,clock,0.0017
0,bzip.trace,42,lru,0.0016
0,bzip.trace,40,rand,0.0021
0,bzip.trace,40,clock,0.0017
0,bzip.trace,40,lru,0.0017
0,bzip.trace,38,rand,0.0023
0,bzip.trace,38,clock,0.0018
0,bzip.trace,38,lru,0.0018
0,bzip.trace,36,rand,0.0023
0,bzip.trace,36,clock,0.0019
0,bzip.trace,36,lru,0.0019
0,bzip.trace,34,rand,0.0025
0,bzip.trace,34,clock,0.002
0,bzip.trace,34,lru,0.0019
0,bzip.trace,32,rand,0.0026
